freq	lemma	category
47	goal	other
47	envelope	object
47	goodnight	other
46	direction	other
46	runner	other
46	nap	action
45	strip	action
45	owner	other
45	valley	nature
45	pattern	property
45	needle	tool
45	fever	feeling
45	pass	action
45	dancer	other
44	thirsty	feeling
44	thunder	weather
44	stamp	object
44	prize	object
44	lizard	animal
44	recipe	other
44	tidy	action
44	lay	action
44	dessert	food
44	sunflower	plant
43	trunk	body
43	wipe	action
43	tip	object
43	tape	tool
43	peel	action
43	shade	nature
43	globe	object
43	neat	property
43	shed	object
43	golden	property
43	strawberry	food
43	kit	object
43	copy	action
42	poem	other
42	imagination	feeling
42	jungle	nature
42	birdhouse	object
42	hook	object
42	scale	object
42	guide	other
42	evil	property
41	crowd	other
41	stair	object
41	stem	plant
41	seek	action
41	tick	sound
40	paw	body
40	american	other
40	deer	animal
40	stomach	body
40	freeze	action
40	lap	body
40	scarf	clothing
40	lettuce	food
40	frame	object
40	bakery	place
39	tray	object
39	celebrate	action
39	goat	animal
39	steal	action
39	counter	object
39	lead	action
39	noodle	food
39	kangaroo	animal
38	breeze	weather
38	firefighter	other
38	explore	action
38	chain	object
38	shut	action
38	clever	property
38	raise	action
37	huge	property
37	firework	object
37	flame	nature
37	sauce	food
37	flash	nature
36	pea	food
36	helmet	clothing
36	material	property
35	lick	action
35	accident	other
35	wonder	feeling
35	vet	other
35	mosquito	animal
35	bracelet	clothing
35	sponge	object
34	plain	property
34	cap	clothing
34	cheek	body
34	tunnel	place
34	worry	feeling
34	faraway	property
33	sidewalk	place
33	purr	sound
33	stream	nature
33	baker	other
33	switch	action
33	dead	property
32	bitter	property
32	lava	nature
32	sneeze	action
32	hay	plant
32	playroom	place
32	yogurt	food
32	timer	tool
32	chase	action
32	pedal	object
32	crash	action
32	wrap	action
31	camp	place
31	ripe	property
31	bead	toy
31	peaceful	feeling
31	sore	feeling
31	ham	food
31	ladder	tool
31	pipe	object
31	pumpkin	food
31	spicy	property
31	bulb	object
31	barber	other
30	beauty	property
30	beaver	animal
30	builder	other
30	useful	property
30	sparkle	property
30	helpful	property
30	zero	other
30	whistle	sound
30	court	place
29	palace	place
29	stack	object
29	attic	place
29	toothbrush	tool
29	nod	action
29	hurry	action
29	craft	action
29	throat	body
28	jam	food
28	journey	action
28	muddy	property
28	puppet	toy
28	pump	tool
28	curve	property
28	guest	family
28	crawl	action
28	belt	clothing
28	clue	other
28	shield	tool
28	flute	tool
28	soda	food
28	berry	food
28	curly	property
28	blade	object
28	buzz	sound
28	log	nature
28	nervous	feeling
28	plug	object
27	giant	other
27	collect	action
27	cage	object
27	backpack	object
27	astronaut	other
27	hose	tool
27	windy	weather
27	racket	tool
27	sum	other
27	mask	object
27	boil	action
27	mummy	family
26	sip	action
26	root	plant
26	plus	other
26	mop	tool
26	parade	other
26	hundred	other
26	belly	body
26	patient	property
25	cub	animal
25	postcard	object
25	snap	action
25	pebble	nature
25	heal	action
25	mama	family
25	runny	property
25	costume	clothing
25	squirrel	animal
25	surfboard	tool
25	skip	action
25	lucky	feeling
24	scratch	action
24	borrow	action
24	england	place
24	sandy	property
24	playdate	other
24	cucumber	food
24	single	property
24	violin	object
24	mango	food
24	juicy	property
23	beak	body
23	trumpet	object
23	italy	place
23	hiss	sound
23	loop	object
23	ladybug	animal
23	dice	toy
23	chimney	object
23	leather	property
23	seal	animal
23	superhero	other
23	chin	body
23	panda	animal
23	fuzzy	property
22	pat	action
22	ink	object
22	freezer	object
22	airplane	object
22	cherry	food
22	curtain	object
22	equal	property
22	shoulder	body
22	slippery	property
22	clink	sound
22	diary	object
22	third	other
22	musician	other
21	watermelon	food
21	rusty	property
21	crane	tool
21	balance	action
21	mad	feeling
21	refrigerator	object
21	squeeze	action
21	clip	object
21	loose	property
21	discover	action
21	princess	other
20	melody	sound
20	pip	plant
20	wheelchair	object
20	lullaby	sound
20	cloudy	weather
20	visitor	other
20	spray	action
20	bathtub	object
20	backyard	place
20	cocoa	food
20	rectangle	property
20	celebration	other
20	thud	sound
20	sweater	clothing
20	spell	action
20	tickle	action
19	caterpillar	animal
19	trouble	feeling
19	twinkle	action
19	sunlight	nature
19	suit	clothing
19	treehouse	place
19	pin	object
19	shore	nature
19	polite	property
19	sheet	object
19	divide	action
19	erase	action
19	thirty	other
19	sleeve	clothing
19	grab	action
19	zebra	animal
19	crust	food
19	dip	action
19	chirp	sound
18	lip	body
18	decoration	object
18	rose	plant
18	mane	body
18	flu	feeling
18	chore	action
18	knob	object
18	tame	property
18	erupt	action
18	shy	feeling
18	claw	body
18	marker	tool
18	sort	action
18	penny	object
18	shiver	action
18	sweetie	feeling
18	moo	sound
17	pilot	other
17	fizz	sound
17	straw	object
17	beetle	animal
17	ray	nature
17	medal	object
17	flavor	property
17	marble	toy
17	thump	sound
17	bun	food
17	creature	animal
17	speaker	object
17	lace	clothing
17	rust	property
17	robe	clothing
17	uniform	clothing
17	mount	action
17	yawn	action
17	golf	action
17	lollipop	food
17	creak	sound
17	hen	animal
17	trace	action
17	label	object
17	advice	other
17	waterfall	nature
16	gran	family
16	scratchy	property
16	snowball	toy
16	clam	animal
16	comfortable	property
16	fountain	nature
16	record	object
16	bouncy	property
16	customer	other
16	autumn	nature
16	hood	clothing
16	tub	object
16	yucky	feeling
16	super	property
